,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
57,2023-05-23,211.81997905516374,185.1058854904005,233.84925725717156,211.81997905516374,211.81997905516374,-1.5023517545549208,-1.5023517545549208,-1.5023517545549208,-1.5023517545549208,-1.5023517545549208,-1.5023517545549208,0.0,0.0,0.0,210.31762730060882
58,2023-05-24,212.76751760874788,187.88418830032205,234.07247057187058,212.76751760874788,212.76751760874788,-2.4088920275188754,-2.4088920275188754,-2.4088920275188754,-2.4088920275188754,-2.4088920275188754,-2.4088920275188754,0.0,0.0,0.0,210.358625581229
59,2023-05-25,213.71505616233202,186.47484636785862,231.95242378417672,213.71505616233202,213.71505616233202,-3.457894806247498,-3.457894806247498,-3.457894806247498,-3.457894806247498,-3.457894806247498,-3.457894806247498,0.0,0.0,0.0,210.2571613560845
60,2023-05-26,214.6625947159161,187.68631338007344,235.53910687543168,214.6625947159161,214.6625947159161,-3.3035461508465644,-3.3035461508465644,-3.3035461508465644,-3.3035461508465644,-3.3035461508465644,-3.3035461508465644,0.0,0.0,0.0,211.35904856506954
61,2023-05-30,218.45274893025262,193.07051025246236,241.31051469753646,218.45274893025262,218.45274893025262,-1.5023517545642093,-1.5023517545642093,-1.5023517545642093,-1.5023517545642093,-1.5023517545642093,-1.5023517545642093,0.0,0.0,0.0,216.9503971756884
62,2023-05-31,219.40028748383673,194.37609655909617,242.21135281450245,219.40028748383673,219.40028748383673,-2.4088920275137715,-2.4088920275137715,-2.4088920275137715,-2.4088920275137715,-2.4088920275137715,-2.4088920275137715,0.0,0.0,0.0,216.99139545632298
63,2023-06-01,220.34782603742084,192.68631976471926,240.07863498045455,220.34782603742084,220.34782603742084,-3.4578948062443566,-3.4578948062443566,-3.4578948062443566,-3.4578948062443566,-3.4578948062443566,-3.4578948062443566,0.0,0.0,0.0,216.8899312311765
64,2023-06-02,221.29536459100498,195.27873482929607,242.18088896034772,221.29536459100498,221.29536459100498,-3.303546150837863,-3.303546150837863,-3.303546150837863,-3.303546150837863,-3.303546150837863,-3.303546150837863,0.0,0.0,0.0,217.99181844016712
65,2023-06-05,224.13798027237596,196.3863354514895,245.46063978536975,224.13798027237596,224.13798027237596,-3.86833056217958,-3.86833056217958,-3.86833056217958,-3.86833056217958,-3.86833056217958,-3.86833056217958,0.0,0.0,0.0,220.26964971019638
66,2023-06-06,225.08551883283297,199.7746717006082,248.79963670958668,225.08551883283297,225.08551883283297,-1.5023517545634868,-1.5023517545634868,-1.5023517545634868,-1.5023517545634868,-1.5023517545634868,-1.5023517545634868,0.0,0.0,0.0,223.5831670782695
67,2023-06-07,226.03305739328994,197.93611970351338,248.33065826449348,226.03305739328994,226.03305739328994,-2.4088920275141583,-2.4088920275141583,-2.4088920275141583,-2.4088920275141583,-2.4088920275141583,-2.4088920275141583,0.0,0.0,0.0,223.62416536577578
68,2023-06-08,226.98059595374693,200.3914232740036,248.48882548758073,226.98059595374693,226.98059595374693,-3.457894806256235,-3.457894806256235,-3.457894806256235,-3.457894806256235,-3.457894806256235,-3.457894806256235,0.0,0.0,0.0,223.5227011474907
69,2023-06-09,227.92813451420395,202.12782685521543,248.6017497682208,227.92813451420395,227.92813451420395,-3.3035461508291624,-3.3035461508291624,-3.3035461508291624,-3.3035461508291624,-3.3035461508291624,-3.3035461508291624,0.0,0.0,0.0,224.62458836337478
70,2023-06-12,230.77075019557492,202.6935218535652,249.21984772154525,230.77075019557492,230.77075019557492,-3.868330562178468,-3.868330562178468,-3.868330562178468,-3.868330562178468,-3.868330562178468,-3.868330562178468,0.0,0.0,0.0,226.90241963339645
71,2023-06-13,231.71828875603188,206.76605687054905,253.70931551126762,231.71828875603188,231.71828875603188,-1.5023517545600877,-1.5023517545600877,-1.5023517545600877,-1.5023517545600877,-1.5023517545600877,-1.5023517545600877,0.0,0.0,0.0,230.2159370014718
72,2023-06-14,232.66582731648884,205.81580606661717,254.07329627824333,232.66582731648884,232.66582731648884,-2.408892027514544,-2.408892027514544,-2.408892027514544,-2.408892027514544,-2.408892027514544,-2.408892027514544,0.0,0.0,0.0,230.2569352889743
73,2023-06-15,233.61336587778897,206.49857110713742,252.90241347156942,233.61336587778897,233.61336587778897,-3.4578948062530928,-3.4578948062530928,-3.4578948062530928,-3.4578948062530928,-3.4578948062530928,-3.4578948062530928,0.0,0.0,0.0,230.15547107153589
74,2023-06-16,234.56090443908906,206.47858632367524,254.67877057848,234.56090443908906,234.56090443908906,-3.303546150854779,-3.303546150854779,-3.303546150854779,-3.303546150854779,-3.303546150854779,-3.303546150854779,0.0,0.0,0.0,231.2573582882343
75,2023-06-20,238.35105868428943,215.26213355009244,261.5076427153687,238.35105868428943,238.35105868428943,-1.502351754556688,-1.502351754556688,-1.502351754556688,-1.502351754556688,-1.502351754556688,-1.502351754556688,0.0,0.0,0.0,236.84870692973274
76,2023-06-21,239.29859724558952,212.67237851932745,261.7649760462836,239.29859724558952,239.29859724558952,-2.4088920275176133,-2.4088920275176133,-2.4088920275176133,-2.4088920275176133,-2.4088920275176133,-2.4088920275176133,0.0,0.0,0.0,236.8897052180719
77,2023-06-22,240.24613580688964,213.2920917954149,260.6789944399542,240.24613580688964,240.24613580688964,-3.457894806242818,-3.457894806242818,-3.457894806242818,-3.457894806242818,-3.457894806242818,-3.457894806242818,0.0,0.0,0.0,236.78824100064682
78,2023-06-23,241.1936743681897,214.7886132894476,262.8723830254435,241.1936743681897,241.1936743681897,-3.303546150856928,-3.303546150856928,-3.303546150856928,-3.303546150856928,-3.303546150856928,-3.303546150856928,0.0,0.0,0.0,237.89012821733277
79,2023-06-26,244.03629005208998,218.38013775803688,263.53366797922024,244.03629005208998,244.03629005208998,-3.868330562172957,-3.868330562172957,-3.868330562172957,-3.868330562172957,-3.868330562172957,-3.868330562172957,0.0,0.0,0.0,240.16795948991702
80,2023-06-27,244.98382861339005,221.09537139304058,266.56658007515404,244.98382861339005,244.98382861339005,-1.5023517545686549,-1.5023517545686549,-1.5023517545686549,-1.5023517545686549,-1.5023517545686549,-1.5023517545686549,0.0,0.0,0.0,243.4814768588214
81,2023-06-28,245.90037102226896,219.4157741484181,267.1590276388077,245.90037102226896,245.90037102226896,-2.4088920275206807,-2.4088920275206807,-2.4088920275206807,-2.4088920275206807,-2.4088920275206807,-2.4088920275206807,0.0,0.0,0.0,243.49147899474826
82,2023-06-29,246.81691343114784,219.5208863081065,266.60760234752945,246.81691343114784,246.81691343114784,-3.457894806247187,-3.457894806247187,-3.457894806247187,-3.457894806247187,-3.457894806247187,-3.457894806247187,0.0,0.0,0.0,243.35901862490064
83,2023-06-30,247.7334558400268,220.7220073410746,268.43901156352763,247.7334558400268,247.7334558400268,-3.3035461508373767,-3.3035461508373767,-3.3035461508373767,-3.3035461508373767,-3.3035461508373767,-3.3035461508373767,0.0,0.0,0.0,244.42990968918943
84,2023-07-03,250.48308306666357,222.74933725196897,270.66126088931907,250.48308306666357,250.48308306666357,-3.8683305621793513,-3.8683305621793513,-3.8683305621793513,-3.8683305621793513,-3.8683305621793513,-3.8683305621793513,0.0,0.0,0.0,246.61475250448422
85,2023-07-05,252.3161678844214,225.1008501998201,273.76217500167115,252.3161678844214,252.3161678844214,-2.408892027521067,-2.408892027521067,-2.408892027521067,-2.408892027521067,-2.408892027521067,-2.408892027521067,0.0,0.0,0.0,249.90727585690033
86,2023-07-06,253.23271029330033,223.61085413740835,273.1300828199755,253.23271029330033,253.23271029330033,-3.4578948062515544,-3.4578948062515544,-3.4578948062515544,-3.4578948062515544,-3.4578948062515544,-3.4578948062515544,0.0,0.0,0.0,249.77481548704878
87,2023-07-07,254.14925270217924,227.3164531341302,274.66788012160634,254.14925270217924,254.14925270217924,-3.303546150839526,-3.303546150839526,-3.303546150839526,-3.303546150839526,-3.303546150839526,-3.303546150839526,0.0,0.0,0.0,250.8457065513397
88,2023-07-10,256.898879928816,228.9135863214049,275.9193400048123,256.898879928816,256.898879928816,-3.868330562178239,-3.868330562178239,-3.868330562178239,-3.868330562178239,-3.868330562178239,-3.868330562178239,0.0,0.0,0.0,253.03054936663773
89,2023-07-11,257.33441385998003,232.79983652113913,278.7416485629074,257.33441385998003,257.33441385998003,-1.5023517545618557,-1.5023517545618557,-1.5023517545618557,-1.5023517545618557,-1.5023517545618557,-1.5023517545618557,0.0,0.0,0.0,255.83206210541817
90,2023-07-12,257.76994779114403,230.51039552452326,279.01929680585425,257.76994779114403,257.76994779114403,-2.4088920275214534,-2.4088920275214534,-2.4088920275214534,-2.4088920275214534,-2.4088920275214534,-2.4088920275214534,0.0,0.0,0.0,255.36105576362257
91,2023-07-13,258.20548172230804,230.987577727707,278.8278634568937,258.20548172230804,258.20548172230804,-3.457894806241279,-3.457894806241279,-3.457894806241279,-3.457894806241279,-3.457894806241279,-3.457894806241279,0.0,0.0,0.0,254.74758691606675
92,2023-07-14,258.64101565347204,231.75515180384573,279.31644399432787,258.64101565347204,258.64101565347204,-3.3035461508308237,-3.3035461508308237,-3.3035461508308237,-3.3035461508308237,-3.3035461508308237,-3.3035461508308237,0.0,0.0,0.0,255.33746950264123
93,2023-07-17,259.94761744696405,230.42099773382876,278.995621823657,259.94761744696405,259.94761744696405,-3.8683305621846333,-3.8683305621846333,-3.8683305621846333,-3.8683305621846333,-3.8683305621846333,-3.8683305621846333,0.0,0.0,0.0,256.07928688477944
94,2023-07-18,260.38315137812805,234.38210073301403,283.2193456048874,260.38315137812805,260.38315137812805,-1.5023517545611336,-1.5023517545611336,-1.5023517545611336,-1.5023517545611336,-1.5023517545611336,-1.5023517545611336,0.0,0.0,0.0,258.88079962356693
95,2023-07-19,260.81868530929205,233.54424435627124,281.58516066869504,260.81868530929205,260.81868530929205,-2.40889202751635,-2.40889202751635,-2.40889202751635,-2.40889202751635,-2.40889202751635,-2.40889202751635,0.0,0.0,0.0,258.4097932817757
